"","flag","situacao"
"215","ARARIPINA_PE","Ok"
"216","ARARUAMA_RJ","Ok"
"217","ARARUNA_PARAIBA","Ok"
"218","ARATACA_BAHIA","Ok"
"219","ARATUIPE_BAHIA","Ok"
"220","ARAUCARIA_PR","Ok"
"221","ARATIBA_RS","Ok"
"222","ARAUJOS_MG","Ok"
"223","ARAXA_MG","Ok"
"224","ARCEBURGO_MG","Ok"
"225","ARCO-IRIS_SP","Ok"
"226","ARCOVERDE_PE","Ok"
"227","AREAL_RJ","Ok"
"228","AREALVA_SP","Ok"
"229","AREIA_PARAIBA","Ok"
"230","AREIA_DE_BARAUNAS_PARAIBA","Ok"
"231","AREIAL_PARAIBA","Ok"
"232","AREIAS_SP","Ok"
"233","AREIOPOLIS_SP","Ok"
"234","ARIPUANA_MT","Ok"
"235","ARIQUEMES_RO","Ok"
"236","ARIRANHA_SP","Ok"
"237","ARIRANHA_DO_IVAI_PR","Ok"
"238","ARMACAO_DOS_BUZIOS_RJ","Ok"
"239","ARMAZEM_SC","Ok"
"240","ARRAIAL_DO_CABO_RJ","Ok"
"241","ARROIO_DO_MEIO_RS","Ok"
"242","ARROIO_DO_PADRE_RS","Ok"
"243","ARROIO_DO_SAL_RS","Ok"
"244","ARROIO_DOS_RATOS_RS","Ok"
"245","ARROIO_DO_TIGRE_RS","Ok"
"246","ARROIO_GRANDE_RS","Ok"
"247","ARROIO_TRINTA_SC","Ok"
"248","ARTUR_NOGUEIRA_SP","Ok"
"249","ARUJA_SP","Ok"
"250","ARVOREDO_SC","Ok"
"251","ARVOREZINHA_RS","Ok"
"252","ASSAI_PR","Ok"
"253","ASCURRA_SC","Ok"
"254","ASPASIA_SP","Ok"
"255","ASSIS_SP","Ok"
"256","ASSIS_BRASIL_ACRE","Ok"
"257","ASSIS_CHATEAUBRIAND_PR","Ok"
"258","ASSUNCAO_PARAIBA","Ok"
"259","ASSUNCAO_DO_PIAUI_PIAUI","Ok"
"260","ASTORGA_PR","Ok"
"261","ATIBAIA_SP","Ok"
"262","AUGUSTINOPOLIS_TO","Ok"
"263","AUGUSTO_CORRIA_PARA","Ok"
"264","AUGUSTO_PESTANA_RS","Ok"
"265","AUREA_RS","Ok"
"266","AURELINO_LEAL_BAHIA","Ok"
"267","AURIFLAMA_SP","Ok"
